省(市、区),市（州）,县（市、区）,乡镇(街道),村
安徽省,宣城市,泾县,丁家桥镇,李元村
北京市,北京市,房山区,长阳镇,阎仙垡村
福建省,福州市,晋安区,新店镇,西园村
福建省,福州市,连江县,潘渡乡,贵安村
福建省,福州市,闽侯县,荆溪镇,关口村
福建省,福州市,闽侯县,上街镇,建平村
福建省,福州市,闽侯县,上街镇,浦口村
福建省,龙岩市,新罗区,小池镇,培斜村
福建省,莆田市,城厢区,霞林街道,坂头村
福建省,莆田市,城厢区,霞林街道,下黄村
福建省,莆田市,涵江区,国欢镇,都邠村
福建省,莆田市,涵江区,梧塘镇,枫林村
福建省,莆田市,涵江区,梧塘镇,松东村
福建省,莆田市,荔城区,黄石镇,凤山村
福建省,莆田市,荔城区,黄石镇,和平村
福建省,莆田市,荔城区,黄石镇,横塘村
福建省,莆田市,荔城区,黄石镇,江东村
福建省,莆田市,荔城区,黄石镇,七境村
福建省,莆田市,荔城区,黄石镇,清前村
福建省,莆田市,荔城区,黄石镇,沙坂村
福建省,莆田市,荔城区,黄石镇,水南村
福建省,莆田市,荔城区,黄石镇,西洪村
福建省,莆田市,荔城区,黄石镇,下江头村
福建省,莆田市,荔城区,黄石镇,瑶台村
福建省,莆田市,荔城区,西天尾镇,北大村
福建省,莆田市,荔城区,西天尾镇,龙山村
福建省,莆田市,荔城区,新度镇,白埕村
福建省,莆田市,荔城区,新度镇,厝柄村
福建省,莆田市,荔城区,新度镇,锦墩村
福建省,莆田市,荔城区,新度镇,蒲坂村
福建省,莆田市,荔城区,新度镇,新度村
福建省,莆田市,仙游县,榜头镇,坝下村
福建省,莆田市,仙游县,榜头镇,南溪村
福建省,莆田市,仙游县,榜头镇,紫泽村
福建省,莆田市,仙游县,枫亭镇,麟山村
福建省,莆田市,秀屿区,东峤镇,上塘村
福建省,泉州市,安溪县,城厢镇,光德村
福建省,泉州市,安溪县,城厢镇,同美村
福建省,泉州市,安溪县,城厢镇,仙苑村
福建省,泉州市,安溪县,城厢镇,砖文村
福建省,泉州市,安溪县,尚卿乡,福林村
福建省,泉州市,安溪县,尚卿乡,翰卿村
福建省,泉州市,安溪县,尚卿乡,翰苑村
福建省,泉州市,安溪县,尚卿乡,新楼村
福建省,泉州市,安溪县,尚卿乡,尤俊村
福建省,泉州市,安溪县,尚卿乡,灶坑村
